급,감염병,연결등급,계열,지침명,등록일,URL
제1급,동물인플루엔자 인체감염증,direct,,2023년 제1급감염병 동물인플루엔자 인체감염증 대응지침,2023.04.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230421489669316&q_clsfNo=0
제1급,동물인플루엔자 인체감염증,direct,,동물인플루엔자 인체감염증 대응지침 입니다.,2022.01.25,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125784788667&q_clsfNo=0
제1급,동물인플루엔자 인체감염증,group,호흡기,2026년도 호흡기감염병 관리지침(일부개정판),2026.03.30,https://www.kdca.go.kr/bbs/kdca/55/310611/artclView.do
제1급,동물인플루엔자 인체감염증,group,검역,2026 검역업무지침,2026.04.02,https://www.kdca.go.kr/bbs/kdca/55/310651/artclView.do
제1급,동물인플루엔자 인체감염증,group,검역,2025 검역업무지침,2025.05.07,https://www.kdca.go.kr/bbs/kdca/55/228293/artclView.do
제1급,동물인플루엔자 인체감염증,group,인수공통,"2026년도 인수공통감염병(브루셀라증, 공수병, 큐열, 유비저) 관리지침",2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310521/artclView.do
제1급,동물인플루엔자 인체감염증,group,인수공통,인수공통감염병 공동 역학조사 매뉴얼(3.인수공통결핵),2023.06.21,https://www.kdca.go.kr/bbs/kdca/55/228139/artclView.do
제1급,동물인플루엔자 인체감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제1급,두창,direct,,2025년 제1급감염병(두창·페스트·탄저·보툴리눔독소증·야토병) 대응지침,2025.01.02,https://www.kdca.go.kr/bbs/kdca/55/228263/artclView.do
제1급,두창,direct,,2024년 제1급감염병 두창，페스트，탄저，보툴리눔독소증，야토병 대응지침(2024.1월),2023.12.29,https://www.kdca.go.kr/bbs/kdca/55/228172/artclView.do
