제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
코로나19 예방접종 피해보상 특별법 업무지침,2025.10.23,2025,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/228312/artclView.do,,코로나19예방접종피해보상특별법업무지침
2025 시설별 인플루엔자 관리지침(사업장용),2025.10.21,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228311/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/228310/artclView.do,2025시설별인플루엔자관리지침
2025-2026 절기 인플루엔자 관리지침,2025.09.26,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228308/artclView.do,,20252026절기인플루엔자관리지침
의원 종사자의 감염관리 실천 안내서,2025.09.12,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228306/artclView.do,,의원종사자의감염관리실천서
제1급감염병 니파바이러스감염증 대응 지침(제1판),2025.09.08,2025,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228305/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250908095956243&q_clsfNo=-1,제1급감염병니파바이러스감염증대응지침
2025년 코로나바이러스감염증-19 관리지침,2025.08.29,2025,KDCA게시판+감염병포털,,3,https://www.kdca.go.kr/bbs/kdca/55/228304/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250901094907451&q_clsfNo=-1,코로나바이러스감염증19관리지침
검역감염병 대응 지침,2025.07.17,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228303/artclView.do,,검역감염병대응지침
2025 HIV/AIDS 관리지침(개정),2025.07.14,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228302/artclView.do,,2025HIV/AIDS관리지침
일차 의료기관용 바이러스 간염(B형·C형) 진료 지침,2025.07.11,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228301/artclView.do,,일차의료기관용바이러스간염진료지침
2025년 의료관련감염병 표본감시 운영 및 예산집행 안내,2025.07.03,2025,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/228300/artclView.do,,의료관련감염병표본감시운영예산집행
2025년도 감염병 관리 사업 안내,2025.06.30,2025,KDCA게시판,Y,5,https://www.kdca.go.kr/bbs/kdca/55/228299/artclView.do,,감염병관리사업
2025년도 크로이츠펠트-야콥병 관리지침,2025.06.04,2025,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/228298/artclView.do,,크로이츠펠트야콥병관리지침
한의의료기관 감염관리 표준 매뉴얼,2025.05.30,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228297/artclView.do,,한의의료기관감염관리표준매뉴얼
감염병 국가표준실험실 인정요건 및 표준운영지침(국·영문판),2025.05.27,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228296/artclView.do,,감염병국가표준실험실인정요건표준운영지침
