연도,주차,기준일,급,감염병,금주신고수,연누계,5년주별평균,예년대비배수,열부분추출,출처호
2024,14,2024-04-06,3,유비저,0,0,0.0,,,17-14
2024,14,2024-04-06,3,치쿤구니야열,0,0,0.0,,,17-14
2024,14,2024-04-06,3,중증열성혈소판감소 증후군(SFTS),0,0,0.0,,,17-14
2024,14,2024-04-06,3,지카바이러스감염증,0,0,0.0,,,17-14
2024,14,2024-04-06,3,엠폭스(원숭이두창),0,0,,,,17-14
2024,14,2024-04-06,3,매독(1기),16,252,,,,17-14
2024,14,2024-04-06,3,매독(2기),6,121,,,,17-14
2024,14,2024-04-06,3,매독(3기),1,22,,,,17-14
2024,14,2024-04-06,3,매독(선천성),0,3,,,,17-14
2024,14,2024-04-06,3,매독(잠복),20,343,,,,17-14
2024,18,2024-05-04,2,결핵,326,5345,6424.0,0.05,,17-18
2024,18,2024-05-04,2,수두,743,9509,759.0,0.98,,17-18
2024,18,2024-05-04,2,홍역,0,15,1.0,0.0,,17-18
2024,18,2024-05-04,2,콜레라,0,1,0.0,,,17-18
2024,18,2024-05-04,2,장티푸스,2,11,1.0,2.0,,17-18
2024,18,2024-05-04,2,파라티푸스,3,8,1.0,3.0,,17-18
2024,18,2024-05-04,2,세균성이질,1,11,1.0,1.0,,17-18
2024,18,2024-05-04,2,장출혈성대장균감염증,0,24,2.0,0.0,,17-18
2024,18,2024-05-04,2,A형간염,17,453,152.0,0.11,,17-18
2024,18,2024-05-04,2,백일해,67,468,2.0,33.5,,17-18
2024,18,2024-05-04,2,유행성이하선염,200,2043,232.0,0.86,,17-18
2024,18,2024-05-04,2,풍진,0,0,0.0,,,17-18
2024,18,2024-05-04,2,수막구균 감염증,0,5,0.0,,,17-18
2024,18,2024-05-04,2,폐렴구균 감염증,4,149,8.0,0.5,,17-18
2024,18,2024-05-04,2,한센병,0,1,0.0,,,17-18
2024,18,2024-05-04,2,성홍열,65,878,49.0,1.33,,17-18
2024,18,2024-05-04,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,0,0.0,,,17-18
2024,18,2024-05-04,2,카바페넴내성장내세균목(CRE) 감염증,792,17067,430.0,1.84,,17-18
2024,18,2024-05-04,2,E형간염,7,210,,,,17-18
2024,18,2024-05-04,3,파상풍,0,3,1.0,0.0,,17-18
2024,18,2024-05-04,3,B형간염,4,91,7.0,0.57,,17-18
2024,18,2024-05-04,3,일본뇌염,0,0,0.0,,,17-18
2024,18,2024-05-04,3,C형간염,87,2312,192.0,0.45,,17-18
2024,18,2024-05-04,3,말라리아,8,38,6.0,1.33,,17-18
2024,18,2024-05-04,3,레지오넬라증,0,98,6.0,0.0,,17-18
2024,18,2024-05-04,3,비브리오패혈증,0,2,0.0,,,17-18
2024,18,2024-05-04,3,발진열,0,2,0.0,,,17-18
2024,18,2024-05-04,3,쯔쯔가무시증,14,387,20.0,0.7,,17-18
2024,18,2024-05-04,3,렙토스피라증,0,4,1.0,0.0,,17-18
2024,18,2024-05-04,3,브루셀라증,0,3,0.0,,,17-18
2024,18,2024-05-04,3,신증후군출혈열,2,68,4.0,0.5,,17-18
2024,18,2024-05-04,3,후천성면역결핍증(AIDS),15,205,13.0,1.15,,17-18
2024,18,2024-05-04,3,크로이츠펠트-야콥병(CJD),0,16,1.0,0.0,,17-18
2024,18,2024-05-04,3,뎅기열,2,53,1.0,2.0,,17-18
2024,18,2024-05-04,3,인도네시아(1) 큐열,0,15,2.0,0.0,,17-18
2024,18,2024-05-04,3,라임병,0,1,0.0,,,17-18
2024,18,2024-05-04,3,유비저,0,1,0.0,,,17-18
2024,18,2024-05-04,3,치쿤구니야열,0,0,0.0,,,17-18
2024,18,2024-05-04,3,중증열성혈소판감소 증후군(SFTS),0,0,1.0,0.0,,17-18
