제목,등록일,연도,출처,게시판,최신판,판수,URL,URL2,계열키
감염병발생주보(CDWR) 29주 발간안내,2005.08.01,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220129/artclView.do,,감염병발생주보29주발간
2005년 보건소 등록결핵환자(재치료) 외래의료비 지원사업 지침,2005.07.20,2005,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228329/artclView.do,,보건소등록결핵환자외래의료비지원사업지침
감염병발생주보(CDWR) 28주 발간안내,2005.07.18,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220123/artclView.do,,감염병발생주보28주발간
감염병발생주보(CDWR) 27주 발간안내,2005.07.12,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220117/artclView.do,,감염병발생주보27주발간
감염병발생주보(CDWR) 26주 발간안내,2005.07.06,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220115/artclView.do,,감염병발생주보26주발간
예방접종관련 연구과제 수요조사,2005.07.04,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220114/artclView.do,,예방접종관련연구과제수요조사
예방접종 안전관리 전문 사이트 오픈,2005.07.01,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220112/artclView.do,,예방접종안전관리전문사이트오픈
「국가필수예방접종 보장범위 확대 시범사업」개시 안내,2005.07.01,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220111/artclView.do,,국가필수예방접종보장범위확대시범사업개시
감염병발생주보(CDWR) 25주 발간안내,2005.06.27,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220107/artclView.do,,감염병발생주보25주발간
감염병발생주보(CDWR) 24주 발간안내,2005.06.27,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220106/artclView.do,https://www.kdca.go.kr/bbs/kdca/50/220101/artclView.do,감염병발생주보24주발간
감염병발생주보(CDWR) 23주 발간안내,2005.06.15,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220096/artclView.do,,감염병발생주보23주발간
감염병발생주보(CDWR) 22주 발간안내,2005.06.07,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220091/artclView.do,,감염병발생주보22주발간
감염병발생주보(CDWR) 21주 발간안내,2005.05.30,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220089/artclView.do,,감염병발생주보21주발간
감염병발생주보(CDWR) 20주 발간안내,2005.05.23,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220085/artclView.do,,감염병발생주보20주발간
내부연구사업선정 및 평가지침,2005.05.17,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227177/artclView.do,,내부연구사업선정평가지침
디자인 통합 관리지침서,2005.05.17,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227176/artclView.do,,디자인통합관리지침서
감염병발생주보(CDWR) 19주 발간안내,2005.05.17,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220078/artclView.do,,감염병발생주보19주발간
2005년 4월 감염병발생정보(CDMR) 발간,2005.05.09,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220072/artclView.do,,4월감염병발생정보발간
감염병발생주보(CDWR) 18주 발간안내,2005.05.09,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220071/artclView.do,,감염병발생주보18주발간
공무원 행동강령,2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227175/artclView.do,,공무원행동강령
학술 및 전산용역사업편람(2005년도)),2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227174/artclView.do,,학술전산용역사업편람)
국외출장연수정보 웹사이트 안내,2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227170/artclView.do,,국외출장연수정보웹사이트
과기부카드제지침개정입니다.,2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227169/artclView.do,,과기부카드제지침입니다
[훈령]보건복지정보화추진규정중개정,2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227168/artclView.do,,보건복지정보화추진규정중
법정전염 병 실험실 진단지침,2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227167/artclView.do,,법정전염병실험실진단지침
기술훈련생위탁수련에관한규정,2005.05.07,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227166/artclView.do,,기술훈련생위탁수련에관한규정
청렴계약이행을 위한 입찰 특별유의서,2005.05.07,2005,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228328/artclView.do,https://www.kdca.go.kr/bbs/kdca/57/228326/artclView.do,청렴계약이행을위한입찰특별유의서
HIV항체검사실적보고양식,2005.05.07,2005,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228327/artclView.do,,HIV항체검사실적보고양식
플로터 사용 신청서,2005.05.07,2005,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228325/artclView.do,,플로터사용신청서
시ㆍ도 보건환경연구원 사업실적 보고양식,2005.05.07,2005,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228324/artclView.do,,시ㆍ도보건환경연구원사업실적보고양식
국내 정상인과 CJD환자에서의 PRNP polymorphism과 점돌연변이의 분석,2005.05.07,2005,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/228323/artclView.do,,국내정상인과CJD환자에서의PRNPpolymorphism과점돌연변이의분석
감염병발생주보(CDWR) 17주 발간안내,2005.05.02,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220068/artclView.do,,감염병발생주보17주발간
2005년 한센 사업지침 발간 안내,2005.04.29,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220066/artclView.do,,한센사업지침발간
2005년 한센사업지침,2005.04.28,2005,KDCA게시판,지침,,6,https://www.kdca.go.kr/bbs/kdca/55/227165/artclView.do,,한센사업지침
감염병발생주보(CDWR) 16주 발간안내,2005.04.26,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220063/artclView.do,,감염병발생주보16주발간
감염병발생주보(CDWR) 15주 발간안내,2005.04.19,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220055/artclView.do,,감염병발생주보15주발간
2005년 성병관리지침,2005.04.15,2005,KDCA게시판+감염병포털,지침,,10,https://www.kdca.go.kr/bbs/kdca/55/227164/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180710293487621&q_clsfNo=0,성병관리지침
2005년 전염병관리사업지침,2005.04.15,2005,KDCA게시판,지침,,7,https://www.kdca.go.kr/bbs/kdca/55/227163/artclView.do,,전염병관리사업지침
