게시판,artclId,제목,등록일,URL
지침,228322,의원급 의료기관 인플루엔자 의사환자 감시 가이드라인(의료기관용),2025.12.10,https://www.kdca.go.kr/bbs/kdca/55/228322/artclView.do
지침,228321,법정감염병 진단검사 통합지침(제4-2판),2025.12.05,https://www.kdca.go.kr/bbs/kdca/55/228321/artclView.do
지침,228320,「코로나바이러스감염증-19 재택치료 안내서」,2025.12.03,https://www.kdca.go.kr/bbs/kdca/55/228320/artclView.do
교육자료,219136,"2025년 의료기관 환경관리 자가평가 도구(원도구, 단축형 도구)",2025.12.03,https://www.kdca.go.kr/bbs/kdca/49/219136/artclView.do
지침,228319,크로이츠펠트-야콥병(CJ) 안내서,2025.12.02,https://www.kdca.go.kr/bbs/kdca/55/228319/artclView.do
교육자료,219135,[손상 예방] 고령자 낙상사고 예방 관련 교안,2025.11.26,https://www.kdca.go.kr/bbs/kdca/49/219135/artclView.do
서식,228503,코로나19 예방접종 피해보상신청 관련 서식 [기피신청서],2025.11.14,https://www.kdca.go.kr/bbs/kdca/57/228503/artclView.do
지침,228318,2025년 법정감염병 진단·신고기준 지침,2025.11.10,https://www.kdca.go.kr/bbs/kdca/55/228318/artclView.do
공지사항,221460,「코로나19 예방접종 피해보상 등에 관한 특별법」관련 위원회 위원 명단(11.5.기준),2025.11.10,https://www.kdca.go.kr/bbs/kdca/50/221460/artclView.do
공지사항,221458,[공모전] 「에이즈 및 성매개감염병 예방 숏폼 영상 콘텐츠 공모전」수상작 발표,2025.11.05,https://www.kdca.go.kr/bbs/kdca/50/221458/artclView.do
지침,228316,2025년 백신 보관 및 관리 가이드라인(접종기관용) 개정,2025.11.04,https://www.kdca.go.kr/bbs/kdca/55/228316/artclView.do
지침,228315,제4판 의료관련감염 집단발생 대응 안내,2025.11.04,https://www.kdca.go.kr/bbs/kdca/55/228315/artclView.do
지침,228314,기후재난 보건응급조사 매뉴얼,2025.11.03,https://www.kdca.go.kr/bbs/kdca/55/228314/artclView.do
지침,228313,코로나바이러스감염증-19 치료제 사용 안내서(제13-2판) 개정 안내,2025.10.28,https://www.kdca.go.kr/bbs/kdca/55/228313/artclView.do
지침,228312,코로나19 예방접종 피해보상 특별법 업무지침,2025.10.23,https://www.kdca.go.kr/bbs/kdca/55/228312/artclView.do
서식,228502,코로나19 예방접종 피해보상 특별법 업무지침 서식,2025.10.23,https://www.kdca.go.kr/bbs/kdca/57/228502/artclView.do
지침,228311,2025 시설별 인플루엔자 관리지침(사업장용),2025.10.21,https://www.kdca.go.kr/bbs/kdca/55/228311/artclView.do
지침,228310,2025 시설별 인플루엔자 관리지침(노인복지시설용),2025.10.21,https://www.kdca.go.kr/bbs/kdca/55/228310/artclView.do
지침,228309,"2025 시설별 인플루엔자 관리지침(어린이집, 유치원, 학교용)",2025.10.21,https://www.kdca.go.kr/bbs/kdca/55/228309/artclView.do
지침,228308,2025-2026 절기 인플루엔자 관리지침,2025.09.26,https://www.kdca.go.kr/bbs/kdca/55/228308/artclView.do
교육자료,219134,2025년 ｢결핵 및 잠복핵감염관리 표준상담 사례집｣,2025.09.26,https://www.kdca.go.kr/bbs/kdca/49/219134/artclView.do
지침,228307,2024년도 감염병 역학조사 연보,2025.09.24,https://www.kdca.go.kr/bbs/kdca/55/228307/artclView.do
공지사항,221453,4분기 중점검역관리지역 및 검역관리지역 안내,2025.09.24,https://www.kdca.go.kr/bbs/kdca/50/221453/artclView.do
