연도,주차,검체수,살모넬라_건수,살모넬라_분리율,병원성대장균_건수,병원성대장균_분리율,세균성이질_건수,세균성이질_분리율,장염비브리오_건수,장염비브리오_분리율,비브리오콜레라_건수,비브리오콜레라_분리율,캄필로박터_건수,캄필로박터_분리율,클로스트리듐퍼프린젠스_건수,클로스트리듐퍼프린젠스_분리율,황색포도알균_건수,황색포도알균_분리율,바실루스세레우스_건수,바실루스세레우스_분리율,합계_건수,합계_분리율,출처호
2025,14,298,6,2.0,3,1.0,0,0.0,0,0.0,0,0.0,1,0.3,2,0.7,4,1.3,5,1.7,21,7.0,18-18
2025,15,297,9,3.0,7,2.4,0,0.0,0,0.0,0,0.0,2,0.7,4,1.4,5,1.7,8,2.7,35,11.8,18-18
2025,16,225,3,1.3,2,0.9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,9,4.0,1,0.4,16,7.1,18-18
2025,17,177,3,1.7,6,3.4,0,0.0,0,0.0,0,0.0,1,0.6,6,3.4,4,2.3,2,1.1,22,12.4,18-18
2025,18,250,8,3.2,6,2.4,0,0.0,0,0.0,0,0.0,0,0.0,5,2.0,1,0.4,5,2.0,26,10.4,18-22
2025,19,271,8,3.0,3,1.1,0,0.0,0,0.0,0,0.0,2,0.7,6,2.2,8,3.0,7,2.6,34,12.5,18-22
2025,20,294,5,1.7,6,2.0,0,0.0,0,0.0,0,0.0,0,0.0,9,3.1,10,3.4,3,1.0,33,11.2,18-22
2025,21,233,6,2.6,6,2.6,0,0.0,0,0.0,0,0.0,1,0.4,2,0.9,10,4.3,4,1.7,30,12.9,18-22
2025,22,282,11,3.9,13,4.6,0,0.0,0,0.0,0,0.0,0,0.0,6,2.1,7,2.5,8,2.8,45,16.0,18-26
2025,23,246,15,6.1,9,3.7,0,0.0,0,0.0,0,0.0,2,0.8,3,1.2,9,3.7,2,0.8,41,16.7,18-26
2025,24,308,21,6.8,19,6.2,1,0.3,0,0.0,0,0.0,1,0.3,8,2.6,8,2.6,8,2.6,66,21.4,18-26
2025,25,231,16,6.9,19,8.2,0,0.0,0,0.0,0,0.0,3,1.3,5,2.2,9,3.9,1,0.4,53,22.9,18-26
2025,26,259,13,5.0,27,10.4,0,0.0,0,0.0,0,0.0,3,1.2,6,2.3,8,3.1,5,1.9,62,23.9,18-30
